"Picked","RadiusAverageRMS","AxisRatio","Compactness","TotalArea"
"False",0.106,0.246,0.41,0.029
"False",0.216,0.82,0.864,0.137
"False",0.21,0.111,0.264,0.049
"False",0.173,0.17,0.416,0.051
"False",0.111,0.423,0.567,0.032
"False",0.111,0.681,0.824,0.034
"False",0.146,0.145,0.378,0.033
"False",0.088,0.298,0.589,0.017
"False",0.247,0.091,0.223,0.092
"False",0.104,0.278,0.528,0.023
"False",0.199,0.842,0.873,0.116
"False",0.136,0.73,0.852,0.053
"False",0.089,0.58,0.736,0.02
"False",0.288,0.105,0.251,0.231
"False",0.141,0.343,0.588,0.049
"False",0.315,0.099,0.374,0.174
"False",0.15,0.767,0.835,0.065
"False",0.089,0.514,0.681,0.02
"False",0.123,0.163,0.419,0.025
"False",0.084,0.306,0.419,0.012
"False",0.109,0.133,0.31,0.015
"False",0.142,0.777,0.861,0.059
"False",0.201,0.788,0.859,0.119
"False",0.103,0.435,0.699,0.026
"False",0.091,0.457,0.681,0.02
"False",0.196,0.842,0.871,0.113
"False",0.123,0.303,0.59,0.035
"False",0.102,0.547,0.792,0.028
"False",0.142,0.248,0.389,0.038
"False",0.223,0.694,0.778,0.145
"False",0.353,0.092,0.245,0.212
"False",0.102,0.34,0.591,0.025
"False",0.134,0.221,0.428,0.029
"False",0.236,0.141,0.35,0.079
"False",0.084,0.262,0.538,0.015
"False",0.138,0.762,0.857,0.055
"False",0.144,0.204,0.273,0.034
"False",0.112,0.186,0.351,0.018
"False",0.195,0.843,0.87,0.11
"False",0.15,0.771,0.857,0.065
"False",0.222,0.835,0.852,0.144
"False",0.176,0.863,0.866,0.09
"False",0.132,0.279,0.59,0.039
"False",0.108,0.657,0.787,0.032
"False",0.228,0.084,0.18,0.037
"False",0.087,0.493,0.629,0.018
"False",0.089,0.341,0.621,0.019
"False",0.097,0.587,0.779,0.025
"False",0.103,0.311,0.537,0.023
"False",0.085,0.601,0.708,0.019
"False",0.105,0.398,0.627,0.027
"False",0.089,0.507,0.671,0.021
"False",0.105,0.331,0.57,0.024
"False",0.1,0.485,0.699,0.026
"False",0.168,0.796,0.885,0.082
"False",0.091,0.553,0.707,0.021
"False",0.084,0.395,0.616,0.018
"False",0.195,0.874,0.86,0.112
"False",0.085,0.418,0.443,0.018
"False",0.091,0.405,0.561,0.02
"False",0.092,0.334,0.493,0.018
"False",0.113,0.406,0.662,0.032
"False",0.115,0.446,0.609,0.034
"False",0.153,0.815,0.875,0.068
"False",0.238,0.418,0.662,0.156
"False",0.093,0.538,0.661,0.022
"False",0.209,0.862,0.873,0.128
"False",0.136,0.187,0.418,0.038
"False",0.139,0.727,0.845,0.055
"False",0.122,0.791,0.852,0.042
"False",0.145,0.655,0.765,0.059
"False",0.112,0.694,0.843,0.035
"False",0.162,0.584,0.74,0.074
"False",0.119,0.412,0.655,0.033
"False",0.101,0.36,0.575,0.022
"False",0.102,0.347,0.599,0.025
"False",0.108,0.794,0.86,0.033
"False",0.108,0.256,0.387,0.018
"False",0.107,0.193,0.345,0.016
"False",0.2,0.381,0.594,0.096
"False",0.25,0.77,0.86,0.186
"False",0.086,0.658,0.779,0.02
"False",0.244,0.089,0.337,0.085
"False",0.089,0.384,0.67,0.019
"False",0.086,0.36,0.603,0.018
"False",0.321,0.836,0.865,0.31
"False",0.103,0.428,0.607,0.025
"False",0.187,0.827,0.855,0.102
"False",0.087,0.213,0.528,0.018
"False",0.088,0.35,0.643,0.018
"False",0.112,0.457,0.674,0.032
"False",0.198,0.845,0.883,0.115
"False",0.137,0.716,0.845,0.055
"False",0.286,0.077,0.119,0.042
"False",0.089,0.225,0.354,0.012
"False",0.241,0.167,0.321,0.09
"False",0.169,0.072,0.199,0.025
"False",0.088,0.621,0.764,0.021
"False",0.125,0.196,0.352,0.023
