"Picked","RadiusAverageRMS","AxisRatio","Compactness","TotalArea"
"False",0.186,0.857,0.888,0.102
"False",0.198,0.816,0.852,0.115
"False",0.09,0.534,0.764,0.021
"False",0.131,0.448,0.705,0.045
"False",0.125,0.546,0.745,0.043
"False",0.086,0.598,0.762,0.018
"False",0.203,0.809,0.841,0.12
"False",0.194,0.843,0.87,0.11
"False",0.18,0.849,0.885,0.095
"False",0.156,0.317,0.512,0.054
"False",0.143,0.183,0.401,0.035
"False",0.084,0.201,0.453,0.012
"False",0.115,0.151,0.408,0.025
"False",0.1,0.23,0.358,0.015
"False",0.092,0.207,0.382,0.013
"False",0.128,0.215,0.388,0.03
"False",0.259,0.113,0.231,0.069
"False",0.977,0.028,0.116,0.467
"False",0.153,0.805,0.847,0.068
"False",0.132,0.117,0.3,0.022
"False",0.19,0.767,0.864,0.106
"False",0.092,0.256,0.487,0.015
"False",0.267,0.26,0.564,0.162
"False",0.093,0.437,0.67,0.022
"False",0.095,0.6,0.77,0.024
"False",0.092,0.703,0.802,0.022
"False",0.113,0.198,0.357,0.035
"False",0.101,0.47,0.719,0.027
"False",0.322,0.057,0.179,0.078
"False",0.084,0.656,0.795,0.018
"False",0.099,0.615,0.763,0.025
"False",0.426,0.039,0.139,0.11
"False",0.097,0.521,0.671,0.025
"False",0.083,0.729,0.829,0.018
"False",0.237,0.87,0.849,0.166
"False",0.097,0.497,0.671,0.025
"False",0.086,0.322,0.616,0.018
"False",0.156,0.816,0.864,0.07
"False",0.596,0.032,0.126,0.2
"False",0.095,0.256,0.416,0.014
"False",0.293,0.138,0.264,0.11
"False",0.116,0.195,0.417,0.022
"False",0.163,0.822,0.872,0.078
"False",0.158,0.74,0.855,0.072
"False",0.161,0.129,0.37,0.045
"False",0.201,0.867,0.859,0.119
"False",0.319,0.059,0.287,0.183
"False",0.12,0.182,0.34,0.019
"False",0.194,0.808,0.848,0.11
"False",0.191,0.795,0.877,0.107
"False",0.23,0.811,0.858,0.156
"False",0.142,0.791,0.837,0.058
"False",0.178,0.2,0.477,0.073
"False",0.107,0.57,0.784,0.031
"False",0.091,0.53,0.657,0.021
"False",0.118,0.603,0.761,0.039
"False",0.17,0.858,0.865,0.084
"False",0.234,0.761,0.841,0.163
"False",0.145,0.748,0.864,0.061
"False",0.142,0.161,0.311,0.026
"False",0.259,0.877,0.848,0.2
"False",0.197,0.869,0.855,0.114
"False",0.137,0.172,0.447,0.037
"False",0.335,0.075,0.311,0.19
"False",0.205,0.813,0.875,0.126
"False",0.109,0.528,0.694,0.033
"False",0.091,0.48,0.657,0.021
"False",0.237,0.162,0.287,0.081
"False",0.184,0.169,0.462,0.071
"False",0.231,0.873,0.878,0.159
"False",0.123,0.638,0.773,0.042
"False",0.097,0.659,0.763,0.025
"False",0.112,0.74,0.792,0.035
"False",0.225,0.842,0.905,0.15
"False",0.178,0.825,0.88,0.093
"False",0.13,0.157,0.427,0.032
"False",0.087,0.259,0.387,0.011
"False",0.092,0.327,0.671,0.021
"False",0.166,0.796,0.861,0.08
"False",0.185,0.826,0.875,0.1
"False",0.087,0.269,0.547,0.017
"False",0.088,0.398,0.567,0.018
"False",0.112,0.349,0.532,0.029
"False",0.092,0.535,0.76,0.022
"False",0.182,0.841,0.848,0.097
"False",0.194,0.335,0.535,0.091
"False",0.185,0.124,0.383,0.062
"False",0.125,0.578,0.732,0.042
"False",0.153,0.537,0.712,0.066
"False",0.134,0.75,0.859,0.052
"False",0.085,0.607,0.708,0.019
"False",0.128,0.251,0.491,0.039
"False",0.116,0.343,0.61,0.032
"False",0.23,0.109,0.266,0.06
"False",0.14,0.726,0.856,0.056
"False",0.089,0.513,0.629,0.018
"False",0.114,0.278,0.517,0.032
"False",0.19,0.848,0.864,0.106
"False",0.094,0.281,0.562,0.023
"False",0.12,0.352,0.517,0.032
"False",0.094,0.57,0.721,0.022
"False",0.167,0.787,0.877,0.082
"False",0.123,0.671,0.833,0.043
"False",0.088,0.467,0.736,0.02
"False",0.193,0.8,0.821,0.109
"False",0.133,0.11,0.407,0.029
"False",0.106,0.321,0.493,0.022
"False",0.138,0.723,0.833,0.055
"False",0.136,0.182,0.414,0.033
"False",0.325,0.197,0.478,0.221
"False",0.198,0.178,0.411,0.069
"False",0.09,0.218,0.458,0.015
"False",0.12,0.176,0.327,0.018
"False",0.132,0.69,0.795,0.049
"False",0.215,0.766,0.827,0.136
"False",0.214,0.882,0.87,0.135
"False",0.091,0.492,0.661,0.022
"False",0.135,0.429,0.707,0.045
"False",0.089,0.244,0.452,0.017
"False",0.093,0.431,0.661,0.022
"False",0.097,0.197,0.487,0.02
"False",0.226,0.846,0.869,0.15
"False",0.137,0.713,0.821,0.054
"False",0.154,0.47,0.735,0.058
"False",0.178,0.832,0.863,0.092
"False",0.163,0.818,0.853,0.077
"False",0.157,0.776,0.846,0.071
"False",0.342,0.228,0.279,0.228
"False",0.09,0.296,0.543,0.018
"False",0.186,0.164,0.42,0.063
"False",0.183,0.694,0.841,0.096
"False",0.105,0.711,0.8,0.031
"False",0.084,0.421,0.636,0.018
"False",0.097,0.326,0.387,0.018
"False",0.187,0.809,0.855,0.102
"False",0.167,0.809,0.877,0.082
"False",0.104,0.245,0.329,0.025
"False",0.185,0.798,0.868,0.099
"False",0.177,0.907,0.898,0.092
"False",0.2,0.766,0.863,0.118
"False",0.166,0.177,0.291,0.034
"False",0.129,0.147,0.25,0.018
"False",0.373,0.068,0.194,0.117
"False",0.2,0.573,0.784,0.112
"False",0.167,0.115,0.274,0.031
"False",0.309,0.311,0.317,0.312
"False",0.363,0.065,0.17,0.089
"False",0.284,0.063,0.122,0.036
"False",0.219,0.855,0.886,0.143
"False",0.453,0.033,0.105,0.085
"False",0.209,0.561,0.676,0.13
"False",0.171,0.806,0.837,0.085
"False",0.151,0.775,0.867,0.066
"False",0.239,0.081,0.196,0.047
"False",0.799,0.042,0.124,0.363
"False",0.352,0.204,0.495,0.253
"False",0.343,0.208,0.432,0.247
"False",0.135,0.162,0.338,0.026
"False",0.187,0.857,0.871,0.102
"False",0.158,0.82,0.864,0.072
"False",0.114,0.207,0.4,0.022
"False",0.155,0.787,0.848,0.07
"False",0.425,0.052,0.184,0.139
"False",0.275,0.241,0.507,0.149
"False",0.186,0.874,0.888,0.102
"False",0.206,0.796,0.866,0.126
"False",0.11,0.822,0.859,0.035
"False",0.131,0.146,0.346,0.024
"False",0.096,0.524,0.746,0.023
"False",0.091,0.348,0.547,0.017
"False",0.176,0.705,0.802,0.089
"False",0.141,0.68,0.856,0.056
"False",0.093,0.735,0.831,0.024
"False",0.803,0.062,0.186,0.532
"False",0.337,0.173,0.481,0.224
"False",0.428,0.062,0.184,0.143
"False",0.813,0.028,0.104,0.302
"False",0.849,0.04,0.138,0.434
"False",0.184,0.15,0.425,0.063
"False",0.086,0.455,0.651,0.018
"False",0.117,0.407,0.619,0.031
"False",0.678,0.059,0.157,0.312
"False",0.453,0.055,0.092,0.082
"False",0.104,0.247,0.515,0.022
"False",0.193,0.115,0.204,0.031
"False",0.133,0.211,0.402,0.028
"False",0.327,0.102,0.223,0.098
"False",0.094,0.314,0.555,0.021
"False",0.096,0.224,0.41,0.015
"False",0.127,0.575,0.775,0.043
"False",0.097,0.21,0.333,0.011
"False",0.086,0.243,0.372,0.009
"False",0.142,0.137,0.235,0.017
"False",0.16,0.176,0.253,0.035
"False",0.108,0.794,0.86,0.033
"False",0.171,0.833,0.873,0.085
"False",0.269,0.556,0.675,0.207
"False",0.229,0.118,0.281,0.062
"False",0.103,0.709,0.836,0.029
"False",0.103,0.709,0.836,0.029
"False",0.097,0.389,0.674,0.023
"False",0.758,0.052,0.143,0.361
"False",0.325,0.164,0.459,0.21
"False",0.124,0.479,0.76,0.04
"False",0.594,0.022,0.08,0.117
"False",0.133,0.713,0.815,0.051
"False",0.203,0.849,0.876,0.121
"False",0.194,0.883,0.87,0.11
"False",0.106,0.791,0.859,0.032
"False",0.152,0.117,0.367,0.038
"False",0.2,0.792,0.864,0.116
"False",0.251,0.168,0.325,0.091
"False",0.117,0.598,0.761,0.035
"False",0.093,0.45,0.696,0.022
"False",0.084,0.547,0.689,0.018
"False",0.14,0.769,0.838,0.057
"False",0.119,0.285,0.398,0.031
"False",0.116,0.292,0.541,0.029
"False",0.09,0.487,0.528,0.018
"False",0.093,0.353,0.597,0.018
"False",0.18,0.852,0.867,0.094
"False",0.13,0.234,0.483,0.032
"False",0.097,0.178,0.449,0.016
"False",0.72,0.045,0.147,0.308
"False",0.113,0.647,0.809,0.035
"False",0.196,0.152,0.556,0.093
"False",0.138,0.575,0.759,0.052
"False",0.103,0.744,0.836,0.029
"False",0.207,0.887,0.879,0.126
"False",0.149,0.842,0.853,0.064
"False",0.193,0.724,0.836,0.109
"False",0.68,0.071,0.173,0.345
"False",0.161,0.176,0.313,0.033
"False",0.18,0.813,0.851,0.095
"False",0.224,0.851,0.868,0.149
"False",0.205,0.83,0.877,0.124
"False",0.313,0.132,0.318,0.136
"False",0.263,0.413,0.519,0.206
"False",0.108,0.208,0.487,0.025
"False",0.126,0.825,0.857,0.046
"False",0.087,0.453,0.708,0.019
"False",0.12,0.505,0.734,0.039
"False",0.164,0.167,0.483,0.055
"False",0.183,0.875,0.878,0.098
"False",0.168,0.808,0.859,0.082
"False",0.091,0.436,0.655,0.019
"False",0.304,0.865,0.868,0.277
"False",0.178,0.789,0.839,0.091
"False",0.096,0.538,0.705,0.022
"False",0.088,0.478,0.736,0.02
"False",0.086,0.243,0.372,0.009
"False",0.155,0.795,0.837,0.07
"False",0.102,0.928,0.855,0.029
"False",0.221,0.836,0.86,0.144
"False",0.192,0.785,0.877,0.107
"False",0.096,0.581,0.755,0.025
"False",0.138,0.762,0.857,0.055
"False",0.094,0.181,0.374,0.013
"False",0.181,0.82,0.867,0.096
"False",0.672,0.041,0.098,0.176
"False",0.152,0.13,0.28,0.035
"False",0.181,0.832,0.867,0.096
"False",0.088,0.594,0.779,0.02
"False",0.104,0.329,0.51,0.02
"False",0.26,0.083,0.171,0.082
"False",0.679,0.044,0.119,0.253
"False",0.091,0.617,0.734,0.022
"False",0.119,0.646,0.805,0.04
"False",0.096,0.355,0.569,0.022
"False",0.111,0.652,0.806,0.035
"False",0.225,0.119,0.246,0.059
"False",0.227,0.211,0.465,0.096
"False",0.329,0.147,0.454,0.214
"False",0.21,0.2,0.437,0.078
"False",0.568,0.062,0.22,0.325
"False",0.219,0.073,0.251,0.062
"False",0.32,0.142,0.457,0.202
"False",0.19,0.275,0.633,0.111
"False",0.216,0.809,0.864,0.137
"False",0.12,0.671,0.839,0.04
"False",0.165,0.762,0.835,0.08
"False",0.12,0.195,0.48,0.029
"False",0.086,0.382,0.629,0.016
"False",0.086,0.376,0.603,0.015
"False",0.195,0.829,0.875,0.112
"False",0.132,0.238,0.439,0.029
"False",0.165,0.158,0.341,0.042
"False",0.186,0.877,0.888,0.102
"False",0.119,0.343,0.59,0.032
"False",0.112,0.129,0.335,0.022
"False",0.12,0.173,0.352,0.023
"False",0.089,0.201,0.398,0.012
"False",0.085,0.262,0.538,0.015
"False",0.187,0.831,0.855,0.103
"False",0.096,0.575,0.74,0.025
"False",0.22,0.101,0.295,0.061
"False",0.087,0.216,0.472,0.015
"False",0.09,0.229,0.462,0.016
"False",0.092,0.221,0.519,0.017
"False",0.131,0.166,0.292,0.022
"False",0.09,0.297,0.487,0.015
"False",0.205,0.861,0.862,0.123
"False",0.088,0.266,0.597,0.018
"False",0.224,0.841,0.895,0.149
"False",0.096,0.216,0.484,0.017
"False",0.089,0.324,0.567,0.018
"False",0.107,0.348,0.577,0.023
"False",0.098,0.334,0.514,0.019
"False",0.163,0.784,0.853,0.077
"False",0.179,0.837,0.877,0.094
"False",0.763,0.037,0.12,0.283
"False",0.099,0.325,0.505,0.023
"False",0.084,0.212,0.563,0.016
"False",0.18,0.128,0.262,0.058
"False",0.109,0.194,0.318,0.018
"False",0.089,0.191,0.395,0.021
"False",0.093,0.283,0.539,0.018
"False",0.105,0.359,0.518,0.028
"False",0.091,0.28,0.438,0.014
"False",0.119,0.227,0.41,0.025
"False",0.088,0.271,0.524,0.015
"False",0.269,0.179,0.46,0.133
"False",0.101,0.154,0.522,0.024
"False",0.091,0.316,0.59,0.019
"False",0.095,0.213,0.38,0.021
"False",0.099,0.284,0.436,0.024
"False",0.847,0.027,0.109,0.331
"False",0.12,0.251,0.45,0.029
"False",0.085,0.484,0.616,0.018
"False",0.125,0.243,0.542,0.04
"False",0.105,0.338,0.583,0.026
"False",0.097,0.361,0.569,0.022
"False",0.085,0.428,0.616,0.018
"False",0.1,0.201,0.341,0.02
"False",0.116,0.31,0.452,0.026
"False",0.093,0.584,0.721,0.022
"False",0.182,0.775,0.848,0.097
"False",0.088,0.601,0.681,0.02
"False",0.256,0.162,0.326,0.086
"False",0.086,0.27,0.543,0.018
"False",0.135,0.413,0.668,0.048
"False",0.119,0.196,0.411,0.027
"False",0.163,0.389,0.603,0.07
"False",0.339,0.047,0.324,0.195
"False",0.114,0.156,0.314,0.016
"False",0.161,0.79,0.846,0.075
"False",0.202,0.928,0.902,0.12
"False",0.226,0.507,0.418,0.137
"False",0.134,0.399,0.636,0.045
"False",0.111,0.622,0.772,0.032
"False",0.088,0.352,0.589,0.017
"False",0.208,0.771,0.848,0.127
"False",0.115,0.674,0.809,0.037
"False",0.113,0.282,0.487,0.025
"False",0.129,0.218,0.438,0.032
"False",0.097,0.52,0.704,0.025
"False",0.396,0.091,0.227,0.154
"False",0.17,0.799,0.883,0.085
"False",0.169,0.841,0.857,0.083
"False",0.239,0.868,0.877,0.17
"False",0.104,0.184,0.415,0.018
"False",0.177,0.277,0.468,0.07
"False",0.086,0.27,0.563,0.016
"False",0.127,0.334,0.572,0.036
"False",0.175,0.864,0.894,0.089
"False",0.602,0.053,0.191,0.316
"False",0.229,0.831,0.845,0.154
"False",0.128,0.758,0.857,0.047
"False",0.147,0.766,0.844,0.062
"False",0.107,0.68,0.804,0.032
"False",0.107,0.729,0.822,0.031
"False",0.178,0.8,0.83,0.092
"False",0.18,0.837,0.867,0.096
"False",0.183,0.817,0.895,0.099
"False",0.164,0.827,0.89,0.079
"False",0.087,0.836,0.825,0.02
"False",0.099,0.183,0.388,0.014
"False",0.208,0.838,0.882,0.128
"False",0.145,0.638,0.83,0.059
"False",0.325,0.048,0.326,0.172
"False",0.144,0.359,0.616,0.045
"False",0.138,0.379,0.637,0.048
"False",0.098,0.791,0.845,0.026
"False",0.191,0.127,0.363,0.055
"False",0.197,0.795,0.87,0.115
"False",0.155,0.79,0.866,0.069
"False",0.091,0.236,0.496,0.016
"False",0.301,0.714,0.723,0.273
"False",0.088,0.389,0.572,0.02
"False",0.219,0.804,0.873,0.142
"False",0.2,0.849,0.869,0.117
"False",0.458,0.05,0.144,0.129
"False",0.107,0.361,0.563,0.029
"False",0.107,0.612,0.765,0.03
"False",0.207,0.744,0.839,0.124
"False",0.114,0.699,0.823,0.037
"False",0.097,0.681,0.82,0.025
"False",0.124,0.114,0.274,0.018
"False",0.208,0.125,0.194,0.036
"False",0.164,0.788,0.844,0.079
"False",0.178,0.784,0.863,0.092
"False",0.214,0.811,0.855,0.136
"False",0.261,0.832,0.861,0.203
"False",0.143,0.683,0.802,0.059
"False",0.193,0.8,0.873,0.109
"False",0.259,0.09,0.397,0.143
"False",0.233,0.716,0.809,0.162
"False",0.111,0.179,0.309,0.015
"False",0.352,0.078,0.215,0.105
"False",0.139,0.406,0.626,0.049
"False",0.274,0.145,0.292,0.119
"False",0.159,0.844,0.836,0.073
"False",0.11,0.724,0.824,0.034
"False",0.095,0.439,0.671,0.025
"False",0.209,0.796,0.83,0.129
"False",0.108,0.452,0.619,0.031
"False",0.586,0.032,0.076,0.101
"False",0.143,0.766,0.872,0.059
"False",0.178,0.242,0.474,0.063
"False",0.161,0.837,0.873,0.075
"False",0.191,0.809,0.877,0.107
"False",0.155,0.772,0.848,0.07
"False",0.193,0.792,0.867,0.109
"False",0.174,0.788,0.843,0.088
"False",0.137,0.422,0.67,0.049
"False",0.21,0.806,0.884,0.129
"False",0.281,0.122,0.388,0.146
"False",0.12,0.266,0.586,0.034
"False",0.186,0.84,0.849,0.101
"False",0.086,0.803,0.846,0.02
"False",0.118,0.156,0.343,0.017
"False",0.152,0.825,0.865,0.067
"False",0.206,0.778,0.847,0.124
"False",0.181,0.072,0.191,0.025
"False",0.108,0.183,0.311,0.014
"False",0.318,0.429,0.184,0.225
"False",0.087,0.225,0.373,0.012
"False",0.444,0.077,0.16,0.146
"False",0.572,0.038,0.104,0.142
"False",0.107,0.134,0.307,0.015
"False",0.203,0.104,0.198,0.033
"False",0.114,0.588,0.806,0.036
"False",0.682,0.023,0.085,0.171
"False",0.129,0.587,0.782,0.047
"False",0.118,0.629,0.807,0.039
"False",0.155,0.728,0.808,0.069
"False",0.09,0.283,0.324,0.011
"False",0.09,0.259,0.359,0.011
"False",0.112,0.213,0.309,0.015
"False",0.799,0.026,0.049,0.12
"False",0.14,0.73,0.838,0.057
"False",0.228,0.849,0.855,0.153
"False",0.113,0.441,0.691,0.032
"False",0.228,0.106,0.225,0.05
"False",0.776,0.024,0.083,0.223
"False",0.31,0.045,0.211,0.079
"False",0.098,0.189,0.34,0.013
"False",0.173,0.109,0.224,0.029
"False",0.167,0.841,0.877,0.082
"False",0.18,0.112,0.198,0.028
"False",0.232,0.822,0.852,0.159
"False",0.197,0.821,0.847,0.114
"False",0.146,0.762,0.834,0.062
"False",0.156,0.833,0.846,0.071
"False",0.148,0.83,0.865,0.064
"False",0.225,0.835,0.877,0.15
"False",0.15,0.084,0.236,0.022
"False",0.358,0.061,0.139,0.076
"False",0.181,0.803,0.834,0.096
"False",0.213,0.67,0.85,0.132
"False",0.23,0.765,0.866,0.156
"False",0.179,0.753,0.87,0.093
"False",0.14,0.431,0.701,0.051
"False",0.121,0.512,0.761,0.039
"False",0.278,0.078,0.376,0.147
"False",0.122,0.155,0.301,0.018
"False",0.104,0.124,0.367,0.016
"False",0.136,0.561,0.748,0.052
"False",0.095,0.611,0.795,0.025
"False",0.157,0.207,0.401,0.04
"False",0.083,0.729,0.829,0.018
"False",0.296,0.056,0.236,0.087
"False",0.19,0.865,0.849,0.105
"False",0.29,0.826,0.828,0.254
"False",0.132,0.8,0.833,0.05
"False",0.119,0.403,0.673,0.035
"False",0.237,0.791,0.871,0.166
"False",0.155,0.813,0.866,0.069
"False",0.184,0.87,0.885,0.099
"False",0.087,0.836,0.825,0.02
"False",0.218,0.861,0.897,0.141
"False",0.103,0.412,0.584,0.022
"False",0.154,0.836,0.845,0.069
"False",0.204,0.816,0.866,0.122
"False",0.175,0.823,0.858,0.089
"False",0.117,0.58,0.762,0.037
"False",0.091,0.401,0.601,0.02
"False",0.085,0.521,0.719,0.018
"False",0.247,0.808,0.862,0.181
"False",0.108,0.341,0.522,0.024
"False",0.139,0.225,0.458,0.034
"False",0.114,0.216,0.406,0.023
"False",0.135,0.206,0.377,0.032
"False",0.098,0.239,0.482,0.018
"False",0.091,0.689,0.779,0.023
"False",0.087,0.248,0.482,0.014
"False",0.103,0.469,0.734,0.027
"False",0.428,0.034,0.111,0.085
"False",0.138,0.55,0.763,0.051
"False",0.102,0.489,0.755,0.028
"False",0.22,0.091,0.385,0.08
"False",0.128,0.348,0.613,0.041
"False",0.321,0.061,0.267,0.151
"False",0.103,0.233,0.376,0.016
"False",0.142,0.842,0.819,0.059
"False",0.16,0.115,0.327,0.032
"False",0.178,0.253,0.487,0.059
"False",0.085,0.619,0.749,0.019
"False",0.139,0.616,0.792,0.055
"False",0.219,0.861,0.894,0.142
"False",0.2,0.799,0.854,0.118
"False",0.168,0.819,0.885,0.082
"False",0.19,0.839,0.864,0.106
"False",0.196,0.856,0.85,0.113
"False",0.475,0.045,0.122,0.12
"False",0.088,0.304,0.445,0.013
"False",0.099,0.237,0.344,0.014
"False",0.249,0.101,0.44,0.116
"False",0.204,0.071,0.189,0.035
"False",0.481,0.517,0.74,0.665
"False",0.109,0.117,0.294,0.015
"False",0.172,0.15,0.341,0.052
"False",0.136,0.174,0.443,0.035
"False",0.192,0.789,0.851,0.108
"False",0.132,0.108,0.335,0.023
"False",0.215,0.832,0.86,0.136
"False",0.326,0.074,0.158,0.073
"False",0.355,0.045,0.278,0.201
"False",0.153,0.308,0.579,0.056
"False",0.211,0.066,0.204,0.039
"False",0.09,0.371,0.646,0.02
"False",0.294,0.309,0.625,0.266
"False",0.205,0.723,0.79,0.122
"False",0.18,0.836,0.851,0.095
"False",0.105,0.775,0.838,0.031
"False",0.207,0.839,0.893,0.126
"False",0.637,0.042,0.083,0.144
"False",0.145,0.73,0.853,0.06
"False",0.123,0.589,0.79,0.042
"False",0.255,0.244,0.293,0.102
"False",0.41,0.047,0.115,0.086
"False",0.143,0.114,0.392,0.039
"False",0.185,0.127,0.232,0.033
"False",0.123,0.154,0.328,0.019
"False",0.084,0.238,0.413,0.01
"False",0.086,0.243,0.372,0.009
"False",0.273,0.827,0.812,0.223
"False",0.196,0.851,0.829,0.113
"False",0.181,0.711,0.851,0.096
"False",0.117,0.269,0.579,0.029
"False",0.138,0.144,0.298,0.024
"True",0.394,0.778,0.816,0.472
"False",0.085,0.203,0.393,0.012
"False",0.123,0.622,0.747,0.042
"False",0.128,0.487,0.707,0.043
"False",0.698,0.082,0.17,0.414
"False",0.148,0.336,0.623,0.053
"False",0.801,0.058,0.159,0.475
"False",0.222,0.835,0.864,0.145
"False",0.59,0.092,0.225,0.344
"False",0.222,0.799,0.869,0.146
"False",0.179,0.811,0.837,0.093
"False",0.812,0.067,0.21,0.572
"False",0.122,0.696,0.818,0.042
"False",0.158,0.363,0.54,0.059
"False",0.196,0.744,0.86,0.112
"False",0.114,0.148,0.337,0.018
"False",0.178,0.843,0.863,0.092
"False",0.175,0.725,0.811,0.089
"False",0.108,0.249,0.472,0.022
"False",0.144,0.549,0.69,0.058
"False",0.479,0.107,0.28,0.287
"False",0.154,0.805,0.845,0.069
"False",0.216,0.792,0.854,0.139
"False",0.092,0.313,0.484,0.017
"False",0.096,0.301,0.461,0.017
"False",0.187,0.127,0.246,0.036
"False",0.311,0.059,0.137,0.058
"False",0.086,0.395,0.651,0.018
"False",0.109,0.235,0.472,0.024
"False",0.094,0.877,0.857,0.025
"False",0.085,0.675,0.813,0.019
"False",0.096,0.461,0.694,0.023
"False",0.721,0.036,0.144,0.322
"False",0.086,0.247,0.453,0.012
"False",0.088,0.533,0.655,0.019
"False",0.266,0.181,0.499,0.146
"False",0.995,0.033,0.109,0.447
"False",0.105,0.189,0.446,0.02
"False",0.183,0.816,0.855,0.096
"False",0.177,0.148,0.301,0.039
"False",0.098,0.507,0.717,0.024
"False",0.131,0.215,0.366,0.025
"False",0.138,0.734,0.809,0.054
"False",0.283,0.208,0.238,0.169
"False",0.105,0.255,0.412,0.018
"False",0.146,0.875,0.882,0.061
"False",0.132,0.183,0.335,0.028
"False",0.315,0.142,0.262,0.14
"False",0.337,0.056,0.278,0.175
"False",0.21,0.619,0.716,0.127
"False",0.194,0.749,0.851,0.108
"False",0.119,0.379,0.666,0.032
"False",0.244,0.064,0.174,0.045
"False",0.182,0.715,0.867,0.096
"False",0.162,0.345,0.678,0.068
"False",0.168,0.829,0.849,0.082
"False",0.095,0.624,0.754,0.024
"False",0.104,0.606,0.796,0.029
"False",0.127,0.746,0.843,0.046
"False",0.166,0.833,0.861,0.08
"False",0.115,0.596,0.792,0.035
"False",0.242,0.371,0.301,0.169
"False",0.206,0.797,0.852,0.125
"False",0.287,0.44,0.503,0.244
"False",0.317,0.102,0.165,0.097
"False",0.189,0.115,0.368,0.058
"False",0.116,0.406,0.604,0.032
"False",0.566,0.055,0.138,0.203
"False",0.211,0.844,0.868,0.13
"False",0.128,0.627,0.781,0.046
"False",0.108,0.426,0.704,0.031
"False",0.313,0.073,0.363,0.169
"False",0.178,0.793,0.863,0.092
"False",0.176,0.853,0.866,0.09
"False",0.136,0.77,0.852,0.053
"False",0.113,0.686,0.809,0.035
"False",0.181,0.801,0.867,0.096
"False",0.086,0.693,0.797,0.02
"False",0.146,0.407,0.736,0.057
"False",0.154,0.118,0.22,0.022
"False",0.175,0.758,0.851,0.089
"False",0.138,0.46,0.587,0.052
"False",0.087,0.485,0.708,0.019
"False",0.902,0.055,0.142,0.492
"False",0.096,0.595,0.795,0.025
"False",0.187,0.207,0.547,0.083
"False",0.09,0.397,0.59,0.019
"False",0.173,0.773,0.836,0.087
"False",0.137,0.511,0.736,0.05
"False",0.164,0.102,0.199,0.023
"False",0.109,0.186,0.396,0.02
"False",0.199,0.851,0.889,0.116
"False",0.09,0.784,0.838,0.022
"False",0.19,0.778,0.874,0.106
"False",0.243,0.678,0.768,0.173
"False",0.1,0.565,0.734,0.027
"False",0.196,0.329,0.535,0.091
"False",0.192,0.233,0.402,0.065
"False",0.123,0.604,0.759,0.042
"False",0.16,0.456,0.673,0.07
"False",0.195,0.837,0.891,0.112
"False",0.166,0.707,0.835,0.08
"False",0.087,0.304,0.509,0.015
"False",0.083,0.729,0.829,0.018
"False",0.11,0.263,0.457,0.023
"False",0.107,0.258,0.411,0.019
"False",0.09,0.318,0.584,0.018
"False",0.083,0.241,0.521,0.014
"False",0.251,0.092,0.233,0.066
"False",0.193,0.835,0.879,0.11
"False",0.087,0.339,0.597,0.018
"False",0.087,0.614,0.779,0.02
"False",0.167,0.816,0.858,0.081
"False",0.102,0.235,0.421,0.019
"False",0.171,0.15,0.444,0.052
"False",0.135,0.263,0.289,0.023
"False",0.117,0.255,0.461,0.028
"False",0.09,0.427,0.681,0.02
"False",0.084,0.328,0.566,0.015
"False",0.194,0.794,0.848,0.11
"False",0.181,0.792,0.874,0.096
"False",0.175,0.735,0.843,0.088
"False",0.196,0.838,0.865,0.112
"False",0.182,0.849,0.848,0.097
"False",0.103,0.441,0.627,0.027
"False",0.091,0.617,0.777,0.022
"False",0.156,0.19,0.366,0.042
"False",0.092,0.446,0.661,0.022
"False",0.179,0.808,0.853,0.092
"False",0.186,0.143,0.275,0.057
"False",0.18,0.173,0.299,0.051
"False",0.106,0.247,0.537,0.023
"False",0.179,0.584,0.773,0.091
"False",0.237,0.143,0.401,0.092
"False",0.224,0.885,0.883,0.148
"False",0.21,0.842,0.853,0.131
"False",0.271,0.384,0.701,0.22
"False",0.19,0.836,0.864,0.106
"False",0.186,0.803,0.875,0.1
"False",0.183,0.865,0.878,0.098
"False",0.338,0.209,0.504,0.24
"False",0.124,0.203,0.414,0.025
"False",0.142,0.271,0.51,0.042
"False",0.222,0.191,0.425,0.083
"False",0.463,0.1,0.165,0.23
"False",0.167,0.793,0.869,0.081
"False",0.333,0.742,0.824,0.334
"False",0.169,0.86,0.894,0.083
"False",0.119,0.744,0.839,0.04
"False",0.131,0.284,0.547,0.034
"False",0.131,0.745,0.865,0.049
"False",0.151,0.348,0.633,0.055
"False",0.164,0.752,0.853,0.077
"False",0.177,0.822,0.873,0.091
"False",0.116,0.145,0.365,0.02
"False",0.149,0.186,0.273,0.028
"False",0.126,0.289,0.605,0.038
"False",0.168,0.096,0.251,0.029
"False",0.145,0.184,0.371,0.031
"False",0.207,0.86,0.863,0.126
"False",0.174,0.84,0.886,0.089
"False",0.145,0.727,0.823,0.061
"False",0.183,0.819,0.855,0.098
"False",0.245,0.797,0.865,0.178
"False",0.252,0.874,0.867,0.19
"False",0.086,0.243,0.372,0.009
"False",0.097,0.21,0.333,0.011
"False",0.136,0.744,0.852,0.053
"False",0.212,0.08,0.173,0.029
"False",0.191,0.753,0.848,0.106
"False",0.955,0.054,0.166,0.662
"False",0.192,0.112,0.465,0.075
"False",0.351,0.182,0.481,0.259
"False",0.416,0.082,0.26,0.187
